AS,,,,March 2025,ALWAYS ASK FOR STOCKS AVAILABILITY,,,
1WK,HEATSINK FAN,INTEL,10-11 GEN,HEATSINK FAN - INTEL 10-11 GEN,,-₱20.00,₱0.00,0
2WKS,KB | MOUSE,A4TECH ,COMBO,KB | MOUSE - A4TECH  COMBO,₱550,₱530.00,₱616.00,6
1MO,KB | MOUSE,FANTECH,WK-895 GO POP BLUE COMBO WIRELESS KB/M,KB | MOUSE - FANTECH WK-895 GO POP BLUE COMBO WIRELESS KB/M,₱760,₱740.00,₱851.20,0
1MO,KB | MOUSE,FANTECH,WK-895 GO POP BEIGE COMBO WIRELESS KB/M,KB | MOUSE - FANTECH WK-895 GO POP BEIGE COMBO WIRELESS KB/M,₱760,₱740.00,₱851.20,1
1MO,KB | MOUSE,GUNDAM ,GK78 WITH GM78,KB | MOUSE - GUNDAM  GK78 WITH GM78,"₱1,450","₱1,430.00","₱1,624.00",2
1WK,KB | MOUSE,HP,HP KM100 COMBO USB ,KB | MOUSE - HP HP KM100 COMBO USB ,₱420,₱400.00,₱470.40,3
1WK,KB | MOUSE,INPLAY,STX360 RGB - BLACK,KB | MOUSE - INPLAY STX360 RGB - BLACK,₱300,₱290.00,₱336.00,12
1WK,KB | MOUSE,INPLAY,STX200 RGB - WHITE,KB | MOUSE - INPLAY STX200 RGB - WHITE,₱280,₱270.00,₱313.60,4
1WK,KB | MOUSE,INPLAY,STX365-B BUNDLE Rainbow Light - Black Grey Mix,KB | MOUSE - INPLAY STX365-B BUNDLE Rainbow Light - Black Grey Mix,₱400,₱350.00,₱448.00,2
2WKS,KB | MOUSE,INVISION,STX380 BUNDLE White grey ,KB | MOUSE - INVISION STX380 BUNDLE White grey ,₱550,₱530.00,₱616.00,7
1MO,KB | MOUSE,MMA,RGB KB/M,KB | MOUSE - MMA RGB KB/M,₱260,₱230.00,₱291.20,0
,KB | MOUSE,NEXION,MECHANICAL COMBO USB GK-680 - WHITE,KB | MOUSE - NEXION MECHANICAL COMBO USB GK-680 - WHITE,₱900,₱880.00,"₱1,008.00",3
,KB | MOUSE,NEXION,MECHANICAL COMBO USB GK-680 - BLACK,KB | MOUSE - NEXION MECHANICAL COMBO USB GK-680 - BLACK,₱900,₱880.00,"₱1,008.00",1
,KB | MOUSE,NEXION,MECHANICAL COMBO USB GK-660 BLACK,KB | MOUSE - NEXION MECHANICAL COMBO USB GK-660 BLACK,₱850,₱830.00,₱952.00,1
1WK,KB | MOUSE,TWOLF,TF100 WIRELESS KB & MOUSE SET,KB | MOUSE - TWOLF TF100 WIRELESS KB & MOUSE SET,₱600,₱580.00,₱672.00,0
2MOS,KB ONLY,BADWOLF,KB BADWOLF TKL BW-87,KB ONLY - BADWOLF KB BADWOLF TKL BW-87,₱700,₱680.00,₱784.00,0
6MOS,KB ONLY,DARKFLASH,GD68 - BROWN SUGAR K. YELLOW,KB ONLY - DARKFLASH GD68 - BROWN SUGAR K. YELLOW,"₱2,000","₱1,980.00","₱2,240.00",0
6MOS,KB ONLY,DARKFLASH,GD68 - STARRY BLUE K. YELLOW,KB ONLY - DARKFLASH GD68 - STARRY BLUE K. YELLOW,"₱2,000","₱1,980.00","₱2,240.00",0
,KB ONLY,FANTECH,ATOM 81 MECH KB RED SWITCH - MIZU EDITION,KB ONLY - FANTECH ATOM 81 MECH KB RED SWITCH - MIZU EDITION,"₱1,350","₱1,330.00","₱1,512.00",0
,KB ONLY,FANTECH,ATOM 104 MECH KB BLACK,KB ONLY - FANTECH ATOM 104 MECH KB BLACK,"₱1,350","₱1,330.00","₱1,512.00",0
,KB ONLY,FANTECH,ATOM 104 MECH KB GREY SUMI EDITION BLUE SWITCH,KB ONLY - FANTECH ATOM 104 MECH KB GREY SUMI EDITION BLUE SWITCH,"₱1,350","₱1,330.00","₱1,512.00",0
,KB ONLY,FANTECH,ATOM 96 MECH KB NAVY BLUE MIZU EDITION BLUE SWITCH,KB ONLY - FANTECH ATOM 96 MECH KB NAVY BLUE MIZU EDITION BLUE SWITCH,"₱1,450","₱1,430.00","₱1,624.00",0
,KB ONLY,FANTECH,ATOM 96 MECH KB SKY BLUE MIZU EDITION BLUE SWITCH,KB ONLY - FANTECH ATOM 96 MECH KB SKY BLUE MIZU EDITION BLUE SWITCH,"₱1,450","₱1,430.00","₱1,624.00",0
,KB ONLY,FANTECH,FIGHTER III K614L,KB ONLY - FANTECH FIGHTER III K614L,₱750,₱700.00,₱840.00,5
,KB ONLY,FANTECH,SHIKARI BLACK K515,KB ONLY - FANTECH SHIKARI BLACK K515,₱450,₱430.00,₱504.00,0
1MO,KB ONLY,LOGITECH,K120 KB,KB ONLY - LOGITECH K120 KB,₱500,₱480.00,₱560.00,0
,KB ONLY,ONIKUMA,G30 - (WHITE),KB ONLY - ONIKUMA G30 - (WHITE),"₱1,500","₱1,480.00","₱1,680.00",2
,KB ONLY,RED DRAGON,(K514-RGB) NAGATO BLACK,KB ONLY - RED DRAGON (K514-RGB) NAGATO BLACK,₱950,₱920.00,"₱1,064.00",0
6MOS,KB ONLY,REDRAGON,KUMARA (K552RGB-2) - BLACK,KB ONLY - REDRAGON KUMARA (K552RGB-2) - BLACK,"₱1,850","₱1,820.00","₱2,072.00",0
6MOS,KB ONLY,REDRAGON,KUMARA (K552W-RGB-1) WHITE,KB ONLY - REDRAGON KUMARA (K552W-RGB-1) WHITE,"₱1,950","₱1,920.00","₱2,184.00",0
6MOS,KB ONLY,REDRAGON,(K551RGB-1) V2 MITRA BLUE SWITCH,KB ONLY - REDRAGON (K551RGB-1) V2 MITRA BLUE SWITCH,"₱2,050","₱2,020.00","₱2,296.00",0
6MOS,KB ONLY,REDRAGON,GLORIA PRO  (K664WBP-RGB-PRO) RD CUSTOMIZE SWITCH,KB ONLY - REDRAGON GLORIA PRO  (K664WBP-RGB-PRO) RD CUSTOMIZE SWITCH,"₱2,900","₱2,880.00","₱3,248.00",0
6MOS,KB ONLY,REDRAGON,FIDD MAGNETIC (K683WB-RGB) ,KB ONLY - REDRAGON FIDD MAGNETIC (K683WB-RGB) ,"₱3,200","₱3,180.00","₱3,584.00",0
2MOS,KB ONLY,ROYAL KLUDGE,RK61 BROWN SWITCH  - WHITE,KB ONLY - ROYAL KLUDGE RK61 BROWN SWITCH  - WHITE,"₱2,225","₱2,175.00","₱2,492.00",0
,KB ONLY,MSI,VIGOR GK50Z V2 (BLACK),KB ONLY - MSI VIGOR GK50Z V2 (BLACK),"₱1,550","₱1,530.00","₱1,736.00",11
,KB ONLY,MSI,VIGOR GK50Z V2 (WHITE),KB ONLY - MSI VIGOR GK50Z V2 (WHITE),"₱1,550","₱1,530.00","₱1,736.00",3
,KB ONLY,FANTECH,ATOM 104 MECH KB GREY SUMI EDITION RED SWITCH,KB ONLY - FANTECH ATOM 104 MECH KB GREY SUMI EDITION RED SWITCH,"₱1,350",,"₱1,512.00",0
,KB ONLY,FANTECH,ATOM 96 MECH KB NAVY BLUE MIZU EDITION RED SWITCH,KB ONLY - FANTECH ATOM 96 MECH KB NAVY BLUE MIZU EDITION RED SWITCH,"₱1,420",,"₱1,590.40",0
,KB ONLY,FANTECH,ATOM 96 MECH KB SKY BLUE MIZU EDITION RED SWITCH,KB ONLY - FANTECH ATOM 96 MECH KB SKY BLUE MIZU EDITION RED SWITCH,"₱1,420",,"₱1,590.40",0
,KBM 3-IN-1,RED DRAGON,COMBO (S107-1) 3IN1,KBM 3-IN-1 - RED DRAGON COMBO (S107-1) 3IN1,"₱1,250","₱1,250.00","₱1,400.00",0
1MO,KBM 4-IN-1,FANTECH,P31 HERO BUNDLE,KBM 4-IN-1 - FANTECH P31 HERO BUNDLE,₱750,₱700.00,₱840.00,0
2MOS,KBM 4-IN-1,FANTECH,P51B POWER BUNDLE SET BLACK,KBM 4-IN-1 - FANTECH P51B POWER BUNDLE SET BLACK,"₱1,550","₱1,530.00","₱1,736.00",1
2MOS,KBM 4-IN-1,FANTECH,P51W POWER BUNDLE SET WHITE,KBM 4-IN-1 - FANTECH P51W POWER BUNDLE SET WHITE,"₱1,650","₱1,630.00","₱1,848.00",1
2MOS,KBM 4-IN-1,FANTECH,P51P POWER BUNDLE SET PINK,KBM 4-IN-1 - FANTECH P51P POWER BUNDLE SET PINK,"₱1,650","₱1,630.00","₱1,848.00",0
2WKS,KBM 4-IN-1,KEYTECH,KTX260 WHITE,KBM 4-IN-1 - KEYTECH KTX260 WHITE,₱570,₱550.00,₱638.40,0
2WKS,KBM 4-IN-1,NEXION,(CP-06) BLACK,KBM 4-IN-1 - NEXION (CP-06) BLACK,"₱1,450","₱1,400.00","₱1,624.00",1
2WKS,KBM 4-IN-1,NEXION,(CPW-08) WHITE,KBM 4-IN-1 - NEXION (CPW-08) WHITE,"₱1,450","₱1,430.00","₱1,624.00",2
N/A,LAN CABLE,COMLINK,CAT6 OUT DOOR BOX 305m PURE COPPER 0.55mm,LAN CABLE - COMLINK CAT6 OUT DOOR BOX 305m PURE COPPER 0.55mm,"₱6,500","₱6,450.00","₱7,280.00",0
N/A,LAN CABLE,COMLINK ,CAT6 INDOOR BOX 305m,LAN CABLE - COMLINK  CAT6 INDOOR BOX 305m,"₱1,600","₱1,580.00","₱1,792.00",1
N/A,LAN CABLE,COMLINK ,CAT6 OUTDOOR BOX 305m,LAN CABLE - COMLINK  CAT6 OUTDOOR BOX 305m,"₱1,900","₱1,870.00","₱2,128.00",0
N/A,LAN CABLE,KEYTECH,CAT6 OUT DOOR BOX 305m,LAN CABLE - KEYTECH CAT6 OUT DOOR BOX 305m,"₱1,800",-₱20.00,"₱2,016.00",1
N/A,LAN CABLE,KEYTECH,CAT6 INDOOR BOX 305m,LAN CABLE - KEYTECH CAT6 INDOOR BOX 305m,"₱1,800","₱1,750.00","₱2,016.00",0
N/A,LAN CABLE,NEUTRON,CAT6 INDOOR BOX 305m,LAN CABLE - NEUTRON CAT6 INDOOR BOX 305m,"₱1,550","₱1,530.00","₱1,736.00",0
N/A,LAN CABLE,NEUTRON,CAT6 OUT DOOR BOX 305m,LAN CABLE - NEUTRON CAT6 OUT DOOR BOX 305m,"₱1,950","₱1,930.00","₱2,184.00",0
N/A,LAN CABLE,NEUTRON,CAT6 INDOOR BOX 305m,LAN CABLE - NEUTRON CAT6 INDOOR BOX 305m,"₱1,900","₱1,890.00","₱2,128.00",0
N/A,LAN CABLE,,CAT6 INDOOR per meter,LAN CABLE -  CAT6 INDOOR per meter,₱20,₱20.00,₱22.40,(162)
N/A,LAN CABLE,,CAT6 OUT DOOR per meter,LAN CABLE -  CAT6 OUT DOOR per meter,₱20,₱20.00,₱22.40,0
1YR,LAPTOP,ACER,"TMP214-53-59N1 I5-1135G7 WIN 11 8GB UP TO 32GB. 512GB NVME, 14"" WITH BAG","LAPTOP - ACER TMP214-53-59N1 I5-1135G7 WIN 11 8GB UP TO 32GB. 512GB NVME, 14"" WITH BAG",,,₱0.00,0
10MOS,LAPTOP CHARGER,HUNTKEY,65W ES III UNIVERSAL NTBK ADAPTER,LAPTOP CHARGER - HUNTKEY 65W ES III UNIVERSAL NTBK ADAPTER,"₱1,275","₱1,255.00","₱1,428.00",0
10MOS,LAPTOP CHARGER,HUNTKEY,90W MINI II UNIVERSAL NTBK ADAPTER,LAPTOP CHARGER - HUNTKEY 90W MINI II UNIVERSAL NTBK ADAPTER,"₱1,550","₱1,530.00","₱1,736.00",0
1MO,LAPTOP-USED,DELL,LATTITUDE 3490 I5-7TH GEN,LAPTOP-USED - DELL LATTITUDE 3490 I5-7TH GEN,"₱10,500","₱10,000.00","₱11,760.00",0
1MO,LAPTOP-USED,HP,PROBOOK 440 G3 - I7-6TH GEN,LAPTOP-USED - HP PROBOOK 440 G3 - I7-6TH GEN,"₱11,499","₱11,479.00","₱12,878.88",0
1YR,MIC,JBL,HARMAN PARTYBOX WIRELESS MIC BLACK 20H,MIC - JBL HARMAN PARTYBOX WIRELESS MIC BLACK 20H,"₱5,800","₱5,800.00","₱6,496.00",0
2WKS,MICRO SD,TEAM GROUP,MICRO SD NO ADAPTER 16GB,MICRO SD - TEAM GROUP MICRO SD NO ADAPTER 16GB,₱280,₱260.00,₱313.60,0
2WKS,MICRO SD,TEAM GROUP,MICRO SDXC WITH ADAPTER 128GB,MICRO SD - TEAM GROUP MICRO SDXC WITH ADAPTER 128GB,₱700,₱650.00,₱784.00,0
2WKS,MICRO SD,TEAM GROUP,MICRO SDXC WITH ADAPTER 256GB,MICRO SD - TEAM GROUP MICRO SDXC WITH ADAPTER 256GB,"₱1,200","₱1,150.00","₱1,344.00",3
2WKS,MICRO SD,TEAM GROUP,MICRO SDHC WITH ADAPTER 32GB,MICRO SD - TEAM GROUP MICRO SDHC WITH ADAPTER 32GB,₱300,₱280.00,₱336.00,0
2WKS,MICRO SD,TEAM GROUP,MICRO SDXC WITH ADAPTER 64GB,MICRO SD - TEAM GROUP MICRO SDXC WITH ADAPTER 64GB,₱420,₱400.00,₱470.40,0
1YR,MOBO,ASROCK,H510M HVS,MOBO - ASROCK H510M HVS,"₱3,480","₱3,460.00","₱3,897.60",1
1YR,MOBO,ASROCK,B550M STEEL LEGEND,MOBO - ASROCK B550M STEEL LEGEND,"₱8,500","₱8,300.00","₱9,520.00",0
1YR,MOBO,ASUS PRIME,A520M K,MOBO - ASUS PRIME A520M K,"₱3,700","₱3,680.00","₱4,144.00",1
1YR,MOBO,BIOSTAR,B450MHP DDR4/3200 AM4,MOBO - BIOSTAR B450MHP DDR4/3200 AM4,"₱2,850","₱2,830.00","₱3,192.00",0
1YR,MOBO,GIGABYTE,B550M DS3H,MOBO - GIGABYTE B550M DS3H,"₱5,350",,"₱5,992.00",0
1YR,MOBO,GIGABYTE,B550M DS3H AC,MOBO - GIGABYTE B550M DS3H AC,"₱6,300","₱6,280.00","₱7,056.00",(1)
1YR,MOBO,GIGABYTE,B550M-K,MOBO - GIGABYTE B550M-K,"₱4,700","₱4,650.00","₱5,264.00",0
1YR,MOBO,GIGABYTE,H510M-K-V2,MOBO - GIGABYTE H510M-K-V2,"₱3,700","₱3,650.00","₱4,144.00",0
1YR,MOBO,MMA,A320,MOBO - MMA A320,"₱2,560","₱2,540.00","₱2,867.20",0
1YR,MOBO,MSI,H510M B PRO,MOBO - MSI H510M B PRO,"₱3,500","₱3,480.00","₱3,920.00",1
1YR,MOBO,GIGABYTE,AORUS B550M ELITE DVI/HDMI RGB FUSION MATX,MOBO - GIGABYTE AORUS B550M ELITE DVI/HDMI RGB FUSION MATX,"₱6,450","₱6,430.00","₱7,224.00",0
1YR,MOBO,ASROCK,B550M-ITX/AC,MOBO - ASROCK B550M-ITX/AC,"₱8,450","₱8,430.00","₱9,464.00",0
1YR,MONITOR,AOC,"24-INCH 180Hz - 24G11E IPS 23.8"" ","MONITOR - AOC 24-INCH 180Hz - 24G11E IPS 23.8"" ","₱7,050","₱7,030.00","₱7,896.00",0
1YR,MONITOR,AOC,27-INCH 180Hz - 27G42E IPS ADAPTIVE SYNC,MONITOR - AOC 27-INCH 180Hz - 27G42E IPS ADAPTIVE SYNC,"₱8,750","₱8,730.00","₱9,800.00",0
1YR,MONITOR,ASUS,"GAMING VY249HGR 120HZ 23.8""","MONITOR - ASUS GAMING VY249HGR 120HZ 23.8""","₱5,200","₱5,100.00","₱5,824.00",0
1YR,MONITOR,ASUS TUF,GAMING VG3A SERIES VG249Q3A (24-inch) 180Hz,MONITOR - ASUS TUF GAMING VG3A SERIES VG249Q3A (24-inch) 180Hz,"₱9,100","₱9,080.00","₱10,192.00",2
1YR,MONITOR,ASUS TUF,GAMING VG3A SERIES VG27AQ3A (27-inch) 180hz,MONITOR - ASUS TUF GAMING VG3A SERIES VG27AQ3A (27-inch) 180hz,"₱14,200","₱14,180.00","₱15,904.00",1
1YR,MONITOR,ASUS TUF,GAMING VG3A SERIES VG34VQL3A (34-inch) 180hz,MONITOR - ASUS TUF GAMING VG3A SERIES VG34VQL3A (34-inch) 180hz,"₱18,300","₱18,200.00","₱20,496.00",0
1YR,MONITOR,GALAX,24-INCH 75Hz - PR-01 FHD VA ,MONITOR - GALAX 24-INCH 75Hz - PR-01 FHD VA ,"₱5,300","₱5,250.00","₱5,936.00",0
1YR,MONITOR,GAMDIAS,24-INCH 165Hz VENUS HD24IFW IPS,MONITOR - GAMDIAS 24-INCH 165Hz VENUS HD24IFW IPS,"₱6,700","₱6,650.00","₱7,504.00",0
1YR,MONITOR,GAMDIAS,24-INCH 180Hz ATLAS HD24C II,MONITOR - GAMDIAS 24-INCH 180Hz ATLAS HD24C II,"₱6,000","₱5,950.00","₱6,720.00",0
1YR,MONITOR,GAMDIAS,27-INCH 165Hz VENUS HD27IFW IPS,MONITOR - GAMDIAS 27-INCH 165Hz VENUS HD27IFW IPS,"₱7,150","₱7,100.00","₱8,008.00",0
1YR,MONITOR,GAMDIAS,27-INCH 192Hz ATLAS 27F21,MONITOR - GAMDIAS 27-INCH 192Hz ATLAS 27F21,"₱8,000","₱7,950.00","₱8,960.00",0
1YR,MONITOR,INVISION,24-INCH 100Hz N2455-B blackIPS ,MONITOR - INVISION 24-INCH 100Hz N2455-B blackIPS ,"₱3,450","₱3,430.00","₱3,864.00",(1)
1YR,MONITOR,INVISION,24-INCH 100Hz N2455-W whiteIPS ,MONITOR - INVISION 24-INCH 100Hz N2455-W whiteIPS ,"₱3,750","₱3,700.00","₱4,200.00",2
1YR,MONITOR,INVISION,24-INCH 180hz EG24S1-PRO Gaming Monitor - black,MONITOR - INVISION 24-INCH 180hz EG24S1-PRO Gaming Monitor - black,"₱5,200","₱5,180.00","₱5,824.00",2
1YR,MONITOR,INVISION,24-INCH 180hz EG24SW-PRO Gaming Monitor - white,MONITOR - INVISION 24-INCH 180hz EG24SW-PRO Gaming Monitor - white,"₱5,300","₱5,280.00","₱5,936.00",0
1YR,MONITOR,INVISION,27-INCH 100Hz N2755 PRO-B blackIPS ,MONITOR - INVISION 27-INCH 100Hz N2755 PRO-B blackIPS ,"₱4,850","₱4,830.00","₱5,432.00",0
1YR,MONITOR,INVISION,27-INCH 100Hz N2755 PRO-W whiteIPS ,MONITOR - INVISION 27-INCH 100Hz N2755 PRO-W whiteIPS ,"₱4,950","₱4,750.00","₱5,544.00",3
1YR,MONITOR,INVISION,32-INCH 165Hz ES32G2 FHD RGB BC Curved,MONITOR - INVISION 32-INCH 165Hz ES32G2 FHD RGB BC Curved,"₱9,000","₱8,950.00","₱10,080.00",0
1YR,MONITOR,INVISION,25-INCH 100Hz N2510-B black VA FRAMELSS,MONITOR - INVISION 25-INCH 100Hz N2510-B black VA FRAMELSS,"₱3,450","₱3,300.00","₱3,864.00",0
1YR,MONITOR,INVISION,32-INCH 180Hz ES32G1 FHD RGB BC Curved,MONITOR - INVISION 32-INCH 180Hz ES32G1 FHD RGB BC Curved,"₱9,300","₱9,200.00","₱10,416.00",0
1YR,MONITOR,INVISION,27-INCH 180HZ/ 200HZ EG27F1-PRO GAMING MONITOR FLAT BLACK ,MONITOR - INVISION 27-INCH 180HZ/ 200HZ EG27F1-PRO GAMING MONITOR FLAT BLACK ,"₱6,100","₱6,000.00","₱6,832.00",0
1YR,MONITOR,INVISION,25-INCH 100Hz N2510-W white VA FRAMELSS,MONITOR - INVISION 25-INCH 100Hz N2510-W white VA FRAMELSS,"₱3,500","₱3,480.00","₱3,920.00",0
1YR,MONITOR,INVISION,24-INCH 100Hz N2410-B black VA FRAMELSS,MONITOR - INVISION 24-INCH 100Hz N2410-B black VA FRAMELSS,"₱3,200","₱3,180.00","₱3,584.00",0
1YR,MONITOR,INVISION,24-INCH 100Hz N2410-W white VA FRAMELSS,MONITOR - INVISION 24-INCH 100Hz N2410-W white VA FRAMELSS,"₱3,250","₱3,230.00","₱3,640.00",0
1YR,MONITOR,MSI,"PRO MP223 22-inch , 100Hz","MONITOR - MSI PRO MP223 22-inch , 100Hz","₱4,500","₱4,480.00","₱5,040.00",2
1YR,MONITOR,MSI,24.5-INCH MP251 PRO IPS 100HZ BLACK,MONITOR - MSI 24.5-INCH MP251 PRO IPS 100HZ BLACK,"₱5,100","₱5,050.00","₱5,712.00",0
1YR,MONITOR,MSI,25-INCH 180hz MAG 256F,MONITOR - MSI 25-INCH 180hz MAG 256F,"₱6,650","₱6,600.00","₱7,448.00",0
1YR,MONITOR,MSI,27-INCH 180HZ MAG27CQCF,MONITOR - MSI 27-INCH 180HZ MAG27CQCF,"₱14,300","₱14,280.00","₱16,016.00",0
1YR,MONITOR,MSI,"G32C4X 250HZ CURVED BLACK 32""","MONITOR - MSI G32C4X 250HZ CURVED BLACK 32""","₱15,200","₱15,000.00","₱17,024.00",0
1YR,MONITOR,OVATION,19-INCH 60hz,MONITOR - OVATION 19-INCH 60hz,"₱1,600","₱1,590.00","₱1,792.00",0
1MO,MONITOR,VIEWPLUS,"MG-24HI DP 23.8"" 165HZ IPS GA,ING MONITOR RGB LIGHT 1920*1080 HDMI+DP+TYPE C+AUDIO DP FLUSH OUT","MONITOR - VIEWPLUS MG-24HI DP 23.8"" 165HZ IPS GA,ING MONITOR RGB LIGHT 1920*1080 HDMI+DP+TYPE C+AUDIO DP FLUSH OUT","₱3,200","₱3,200.00","₱3,584.00",0
1MO,MONITOR,VIEWPLUS,"MG-27KI-DP 27"" IPS PANEL 165HZ 2560*1440 QHD 1MS DEAD PIXEL","MONITOR - VIEWPLUS MG-27KI-DP 27"" IPS PANEL 165HZ 2560*1440 QHD 1MS DEAD PIXEL","₱4,200","₱4,200.00","₱4,704.00",0
1MO,MONITOR,VIEWPLUS,"MH-20-DP 19.5"" 75HZ LED 1 HDMI 1 VGA DP FLUSH OUT","MONITOR - VIEWPLUS MH-20-DP 19.5"" 75HZ LED 1 HDMI 1 VGA DP FLUSH OUT","₱1,300","₱1,300.00","₱1,456.00",1
1MO,MONITOR,VIEWPLUS,"MH-246 23.8"" FLAT LCD","MONITOR - VIEWPLUS MH-246 23.8"" FLAT LCD","₱3,050","₱3,050.00","₱3,416.00",0
1MO,MONITOR,VIEWPLUS,"ML-27S DP 27"" FLAT 1920*1080 @ 100HZ VA PANEL 1 HDMI+1 VGA+1 AUDIO OUT DP FLUSH OUT","MONITOR - VIEWPLUS ML-27S DP 27"" FLAT 1920*1080 @ 100HZ VA PANEL 1 HDMI+1 VGA+1 AUDIO OUT DP FLUSH OUT","₱3,850","₱3,850.00","₱4,312.00",0
1MO,MONITOR,VIEWPLUS,"MM-25HI 24.5"" FHD 1920*1080 165HZ IPS IO PORTS DC+HDMI+DP+AUDIO OUT","MONITOR - VIEWPLUS MM-25HI 24.5"" FHD 1920*1080 165HZ IPS IO PORTS DC+HDMI+DP+AUDIO OUT","₱2,450","₱2,450.00","₱2,744.00",0
1MO,MONITOR,VIEWPLUS,"MM-29D 75HZ DP 29"" ULTRAWIDE 75HZ HDMI 2+DP 1+AUDIO DP FLUSH OUT","MONITOR - VIEWPLUS MM-29D 75HZ DP 29"" ULTRAWIDE 75HZ HDMI 2+DP 1+AUDIO DP FLUSH OUT","₱5,500","₱5,500.00","₱6,160.00",0
1MO,MONITOR,VIEWPLUS,"MM-30CQ 30"" WFHD 2580*1080 200HZ DC+HDMI 2+DP 2+AUDIO","MONITOR - VIEWPLUS MM-30CQ 30"" WFHD 2580*1080 200HZ DC+HDMI 2+DP 2+AUDIO","₱7,200","₱7,200.00","₱8,064.00",0
1MO,MONITOR,VIEWPLUS,"MS-19 19"" LED","MONITOR - VIEWPLUS MS-19 19"" LED","₱1,100","₱1,100.00","₱1,232.00",0
1MO,MONITOR,VIEWPLUS,"MX-22-DP 24.45"" 75HZ FLAT DP FLUSH OUT","MONITOR - VIEWPLUS MX-22-DP 24.45"" 75HZ FLAT DP FLUSH OUT","₱1,550","₱1,550.00","₱1,736.00",0
1MO,MONITOR,VIEWPLUS,"MX-24C 23.8"" 75HZ CURED R1500 VGA+HDMI+AUDIO","MONITOR - VIEWPLUS MX-24C 23.8"" 75HZ CURED R1500 VGA+HDMI+AUDIO","₱3,200","₱3,200.00","₱3,584.00",0
1MO,MONITOR,VIEWPLUS,"MX-27CH DP 27"" CURVED GAMING 165HZ FULL HD W/ AUDIO DEAD PIXEL","MONITOR - VIEWPLUS MX-27CH DP 27"" CURVED GAMING 165HZ FULL HD W/ AUDIO DEAD PIXEL","₱3,950","₱3,950.00","₱4,424.00",0
1MO,MONITOR,VIEWPLUS,"MX-27HI DP 27"" GAMING 165HZ FULL HD W/ AUDIO OUTPUT DEAD PIXEL","MONITOR - VIEWPLUS MX-27HI DP 27"" GAMING 165HZ FULL HD W/ AUDIO OUTPUT DEAD PIXEL","₱3,900","₱3,900.00","₱4,368.00",0
1YR,MONITOR,VIEWPOINT,"24-INCH 180Hz FHD-2418 PRO SEMI CURVED, VA PANEL, 2MS, 1920X1080, LED, BLACK","MONITOR - VIEWPOINT 24-INCH 180Hz FHD-2418 PRO SEMI CURVED, VA PANEL, 2MS, 1920X1080, LED, BLACK","₱4,600","₱4,450.00","₱5,152.00",0
1YR,MONITOR,VIEWPOINT,"24-INCH 180Hz FHD-2418 PRO SEMI CURVED, VA PANEL, 2MS, 1920X1080, LED, WHITE","MONITOR - VIEWPOINT 24-INCH 180Hz FHD-2418 PRO SEMI CURVED, VA PANEL, 2MS, 1920X1080, LED, WHITE","₱4,600","₱4,450.00","₱5,152.00",0
1YR,MONITOR,VIEWPOINT,27-INCH 165Hz FHD-2718S SEMI CURVED BLACK,MONITOR - VIEWPOINT 27-INCH 165Hz FHD-2718S SEMI CURVED BLACK,"₱5,600","₱5,580.00","₱6,272.00",0
1YR,MONITOR,VIEWPOINT,27-INCH 165Hz FHD-2718S SEMI CURVED WHITE,MONITOR - VIEWPOINT 27-INCH 165Hz FHD-2718S SEMI CURVED WHITE,"₱5,600","₱5,580.00","₱6,272.00",0
1YR,MONITOR,VIEWPOINT,27-INCH 180Hz FHD-2718S pro SEMI CURVED BLACK,MONITOR - VIEWPOINT 27-INCH 180Hz FHD-2718S pro SEMI CURVED BLACK,"₱5,400","₱5,300.00","₱6,048.00",0
1YR,MONITOR,VIEWPOINT,27-INCH 180Hz FHD-2718S pro SEMI CURVED WHITE,MONITOR - VIEWPOINT 27-INCH 180Hz FHD-2718S pro SEMI CURVED WHITE,"₱5,600","₱5,580.00","₱6,272.00",0
1YR,MONITOR,VIEWPOINT,27-INCH 75Hz FHD-27S2 WHITE,MONITOR - VIEWPOINT 27-INCH 75Hz FHD-27S2 WHITE,"₱4,400","₱4,400.00","₱4,928.00",0
1YR,MONITOR,VIEWPOINT,34-INCH K34WQC SEMI CURVED 165HZ (BLACK) ,MONITOR - VIEWPOINT 34-INCH K34WQC SEMI CURVED 165HZ (BLACK) ,"₱9,600","₱9,500.00","₱10,752.00",2
1YR,MONITOR,VIEWPOINT,25-INCH 100HZ VP25K100 IPS BLACK,MONITOR - VIEWPOINT 25-INCH 100HZ VP25K100 IPS BLACK,"₱3,700","₱3,650.00","₱4,144.00",0
1YR,MONITOR,VIEWPOINT,22-INCH VP22PIS 75HZ IPS PANEL BLK,MONITOR - VIEWPOINT 22-INCH VP22PIS 75HZ IPS PANEL BLK,"₱2,950","₱2,900.00","₱3,304.00",0
1YR,MONITOR,VIEWPOINT,27-INCH 180Hz VP2718F pro BLACK,MONITOR - VIEWPOINT 27-INCH 180Hz VP2718F pro BLACK,"₱5,400","₱5,300.00","₱6,048.00",0
1YR,MONITOR,VIEWPOINT,27-INCH 180HZ K27HQC BLACK,MONITOR - VIEWPOINT 27-INCH 180HZ K27HQC BLACK,"₱5,450","₱5,430.00","₱6,104.00",0
1YR,MONITOR,VIEWPOINT,27-INCH 180HZ K27HQC WHITE,MONITOR - VIEWPOINT 27-INCH 180HZ K27HQC WHITE,"₱5,450","₱5,430.00","₱6,104.00",0
